sr_no,state,work_raw,work_id_raw,ida_raw,mp_name_raw,constituency,expenditure_date_raw,vendor_raw,payment_status,fund_disbursed_amount,house,state_key,work_id,work_key,district_name,ida_key,mp_name_clean,mp_key,elected_nominated,expenditure_date,vendor_clean,vendor_id
275,Uttar Pradesh,Lighting of public spaces,WS/MP18221/2025-2026/140960,JALAUN(DISTRICT MAGISTRATE JALAUN_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),03-Sep-2026,shyam swaroop manufacturere,Payment In-Progress,97173.0,LS,Uttar Pradesh,WS/MP18221/2025-2026/140960,LS|WS/MP18221/2025-2026/140960,Jalaun,JALAUN,NARAYAN DAS AHIRWAR,LS_NARAYAN DAS AHIRWAR,,2026-09-03,SHYAM SWAROOP MANUFACTURERE,v_0d6b751b1641
276,Rajasthan,Construction of community centers and community halls,WS/MP18163/2025-2026/252385,DAUSA(DISTRICT COLLECTOR DAUSA_IDA),MURARI LAL MEENA,DAUSA(ST),05-Sep-2026,Maal Construction Company,Payment In-Progress,976185.0,LS,Rajasthan,WS/MP18163/2025-2026/252385,LS|WS/MP18163/2025-2026/252385,Dausa,DAUSA,MURARI LAL MEENA,LS_MURARI LAL MEENA,,2026-09-05,MAAL CONSTRUCTION COMPANY,v_4e02ed12c642
277,Andhra Pradesh,Improvement of electricity distribution infrastructure,WS/MP405/2025-2026/140142,KRISHNA(DISTRICT COLLECTOR KRISHNA_IDA),Balashowry Vallabbhaneni,MACHILIPATNAM,06-Jul-2026,venkateswara rao ganesana,Payment In-Progress,380097.0,LS,Andhra Pradesh,WS/MP405/2025-2026/140142,LS|WS/MP405/2025-2026/140142,Krishna,KRISHNA,BALASHOWRY VALLABBHANENI,LS_BALASHOWRY VALLABBHANENI,,2026-07-06,VENKATESWARA RAO GANESANA,v_99a6eee65552
278,Madhya Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18100/2025-2026/249986,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),BUNTY VIVEK SAHU,CHHINDWARA,03-Feb-2026,Sarpanch Gram Panchayat KERIYA,Payment In-Progress,120000.0,LS,Madhya Pradesh,WS/MP18100/2025-2026/249986,LS|WS/MP18100/2025-2026/249986,Chhindwara,CHHINDWARA,BUNTY VIVEK SAHU,LS_BUNTY VIVEK SAHU,,2026-02-03,SARPANCH GRAM PANCHAYAT KERIYA,v_4b858cf6741f
279,Bihar,Construction of community centers and community halls,WS/MP18043/2025-2026/198318,KAIMUR (BHABUA)(DISTRICT PLANNING OFFICER KAIMUR BHABUA_IDA),MANOJ KUMAR,SASARAM(SC),27-Jun-2026,ASSISTANT ENGINEER MOHANIA,Payment In-Progress,201465.0,LS,Bihar,WS/MP18043/2025-2026/198318,LS|WS/MP18043/2025-2026/198318,Kaimur,KAIMUR,MANOJ KUMAR,LS_MANOJ KUMAR,,2026-06-27,ASSISTANT ENGINEER MOHANIA,v_3c93715f5b24
280,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,03-Sep-2026,MS SHERPUR BRICK KILN,Payment In-Progress,43050.0,LS,Punjab,WS/MP18314/2026-2027/268676,LS|WS/MP18314/2026-2027/268676,Barnala,BARNALA,GURMEET SINGH MEET HAYER,LS_GURMEET SINGH MEET HAYER,,2026-09-03,MS SHERPUR BRICK KILN,v_b20935eb747a
281,Punjab,Construction of shelters for animals,WS/MP18314/2026-2027/268676,BARNALA(DEPUTY COMMISSIONER BARNALA_IDA),GURMEET SINGH MEET HAYER,SANGRUR,03-Sep-2026,MS SHERPUR BRICK KILN,Payment In-Progress,49200.0,LS,Punjab,WS/MP18314/2026-2027/268676,LS|WS/MP18314/2026-2027/268676,Barnala,BARNALA,GURMEET SINGH MEET HAYER,LS_GURMEET SINGH MEET HAYER,,2026-09-03,MS SHERPUR BRICK KILN,v_b20935eb747a
287,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18221/2026-2027/255640,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),22-Aug-2026,Ms Krishna Traders,Payment In-Progress,725927.0,LS,Uttar Pradesh,WS/MP18221/2026-2027/255640,LS|WS/MP18221/2026-2027/255640,Kanpur Dehat,KANPUR DEHAT,NARAYAN DAS AHIRWAR,LS_NARAYAN DAS AHIRWAR,,2026-08-22,MS KRISHNA TRADERS,v_d4b71cf2367d
288,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18221/2026-2027/255639,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),22-Aug-2026,Ms Krishna Traders,Payment In-Progress,725927.0,LS,Uttar Pradesh,WS/MP18221/2026-2027/255639,LS|WS/MP18221/2026-2027/255639,Kanpur Dehat,KANPUR DEHAT,NARAYAN DAS AHIRWAR,LS_NARAYAN DAS AHIRWAR,,2026-08-22,MS KRISHNA TRADERS,v_d4b71cf2367d
289,Uttar Pradesh,Construction of boundary walls of existing public and community buildings,WS/MP18221/2026-2027/246944,KANPUR DEHAT(DISTRICT MAGISTRATE KANPUR DEHAT_IDA),NARAYAN DAS AHIRWAR,JALAUN(SC),22-Aug-2026,Ms Krishna Traders,Payment In-Progress,725927.0,LS,Uttar Pradesh,WS/MP18221/2026-2027/246944,LS|WS/MP18221/2026-2027/246944,Kanpur Dehat,KANPUR DEHAT,NARAYAN DAS AHIRWAR,LS_NARAYAN DAS AHIRWAR,,2026-08-22,MS KRISHNA TRADERS,v_d4b71cf2367d
