work_key,work_id,house,state,state_key,district_name,ida_raw,ida_key,mp_name_raw,mp_name_clean,mp_key,constituency,elected_nominated,work_raw,work_category_raw,category_raw,category_nlp,work_description_raw,work_description_clean,recommended_date,sanction_date,completion_date,recommended_amount,sanction_amount,amount_disbursed,work_status,image_raw,source_stage,quarantine_reason,work_key_mode,work_key_source
wk_2db1382c4d6e,,LS,Karnataka,Karnataka,Kodagu,KODAGU(Deputy Commsioner Kodagu_ida),KODAGU,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,LS_YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,MYSORE,,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of Bhagavathi temple Community Hall,Construction of Bhagavathi temple Community Hall,2024-12-21 00:00:00,,,400000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2db1382c4d6e
wk_2de52df3c61b,,LS,Tamil Nadu,Tamil Nadu,Tiruppur,TIRUPPUR(DISTRICT COLLECTOR TIRUPPUR_IDA),TIRUPPUR,K E PRAKASH,K E PRAKASH,LS_K E PRAKASH,ERODE,,Development of playground,Normal/Others,Normal/Others,,Construction of a small sports center in the sivanmalai panchayat of Kangeyam panchayat union (2024-25),Construction of a small sports center in the sivanmalai panchayat of Kangeyam panchayat union (2024-25),2024-12-04 00:00:00,,,2500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2de52df3c61b
wk_2de735344da1,,RS,Assam,Assam,Chirang,CHIRANG(Deputy Commissioner Chirang_IDA),CHIRANG,Shri Rwngwra Narzary (2022-28) (2022-2028),RWNGWRA NARZARY,RS_RWNGWRA NARZARY,,Elected MP,Development of playfields and sports grounds,Normal/Others,Normal/Others,,"Development of Panchagram Foot ball play ground under Dangtal VCDC, chirang.","Development of Panchagram Foot ball play ground under Dangtal VCDC, chirang.",2026-01-03 00:00:00,,,600000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2de735344da1
wk_2df8611fb7ff,,LS,Telangana,Telangana,Medchal Malkajgiri,MEDCHAL MALKAJGIRI(DISTRICT COLLECTOR MEDCHAL MALKAJGIRI_IDA),MEDCHAL MALKAJGIRI,EATALA RAJENDER,EATALA RAJENDER,LS_EATALA RAJENDER,MALKAJGIRI,,"Construction of roads, link roads, pathways or any other road with or without drainage system",Repair and Renovation,Repair and Renovation,,"Re-carpeting of BT road at AWHO colony in ward no.135, Alwal Circle, GHMC, Medchal-Malkajgiri District","Re-carpeting of BT road at AWHO colony in ward no.135, Alwal Circle, GHMC, Medchal-Malkajgiri District",2024-11-11 00:00:00,,,1500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2df8611fb7ff
wk_2e209fc75f8c,,RS,Maharashtra,Maharashtra,Amravati,AMRAVATI(DISTRICT COLLECTOR AMRAVATI_IDA),AMRAVATI,Dr. Anil Sukhdeorao Bonde (2022-28) (2022-2028),ANIL SUKHDEORAO BONDE,RS_ANIL SUKHDEORAO BONDE,,Elected MP,Construction of community centers and community halls,Normal/Others,Normal/Others,,Construction of Hall At Lihida,Construction of Hall At Lihida,2025-09-20 00:00:00,,,2000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e209fc75f8c
wk_2e2d6f19791b,,RS,Gujarat,Gujarat,Patan,PATAN(DISTRICT COLLECTOR PATAN_IDA),PATAN,Shri Mayankkumar Nayak (2024-30) (2024-2030),MAYANKKUMAR NAYAK,RS_MAYANKKUMAR NAYAK,,Elected MP,Construction of rooms and halls in school and colleges,Normal/Others,Normal/Others,,For the work of prayer room in Shri A.G. Arya Vidya Bharti Grant in Aid School at Patan,For the work of prayer room in Shri A.G. Arya Vidya Bharti Grant in Aid School at Patan,2025-08-06 00:00:00,,,1500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e2d6f19791b
wk_2e4a20a5baf9,,RS,Odisha,Odisha,Khordha,KHORDHA(DISTRICT COLLECTOR KHORDHA_IDA),KHORDHA,Shri Subhasish Khuntia (2024-30) (2024-2030),SUBHASISH KHUNTIA,RS_SUBHASISH KHUNTIA,,Elected MP,Construction of public libraries and reading rooms,Normal/Others,Normal/Others,,"Completion of public reading room near Jageswari Club, Old Town, BBSR","Completion of public reading room near Jageswari Club, Old Town, BBSR",2025-09-15 00:00:00,,,400000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e4a20a5baf9
wk_2e5ab1d0d411,,RS,Karnataka,Karnataka,Bengaluru Urban,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN,Shri Narayanasa K. Bhandage (2024-30) (2024-2030),NARAYANASA K BHANDAGE,RS_NARAYANASA K BHANDAGE,,Elected MP,Providing drains and gutters for public drainage,Normal/Others,Normal/Others,,C.C.Drain Development work.,C.C.Drain Development work.,2024-11-04 00:00:00,,,500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e5ab1d0d411
wk_2e71d09f2ffc,,LS,Karnataka,Karnataka,Bengaluru Urban,BENGALURU URBAN(DEPUTY COMMISSIONER BANGALORE URBAN_IDA),BENGALURU URBAN,DR.K.SUDHAKAR,DR K SUDHAKAR,LS_DR K SUDHAKAR,CHIKBALLAPUR,,Lighting of public spaces,Normal/Others,Normal/Others,,High mast Light at Ravuthana halli infront of patalamma temple Yelahanka Chikkanahalli GP,High mast Light at Ravuthana halli infront of patalamma temple Yelahanka Chikkanahalli GP,2024-12-12 00:00:00,,,250000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e71d09f2ffc
wk_2e795b42a9b4,,LS,Gujarat,Gujarat,Kachchh,KACHCHH(DISTRICT COLLECTOR KUTCH_IDA),KACHCHH,Vinod Chavda,VINOD CHAVDA,LS_VINOD CHAVDA,KACHCHH(SC),,Construction of buildings for community cultural activities,Normal/Others,Normal/Others,,Bhuj Talukana Bhuj shaher valram nagar - 01 rajubhai goswami na ghar pase ganesh nagar chok sanskrutik hall,Bhuj Talukana Bhuj shaher valram nagar - 01 rajubhai goswami na ghar pase ganesh nagar chok sanskrutik hall,2024-12-16 00:00:00,,,350000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2e795b42a9b4
wk_2ee7df122abf,,LS,Kerala,Kerala,Alappuzha,ALAPPUZHA(DISTRICT COLLECTOR ALAPPUZHA_IDA),ALAPPUZHA,K. C VENUGOPAL,K C VENUGOPAL,LS_K C VENUGOPAL,ALAPPUZHA,,Construction of buildings for crèches and anganwadies,Normal/Others,Normal/Others,,Construction of a building for Anganwadi No.18 in the 1st ward of Devikulangara GP,Construction of a building for Anganwadi No.18 in the 1st ward of Devikulangara GP,2024-09-06 00:00:00,,,1500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2ee7df122abf
wk_2f1fe1e9bb4d,,RS,Bihar,Bihar,Darbhanga,DARBHANGA(DISTRICT PLANNING OFFICER DARBANGA_IDA),DARBHANGA,Dr. Dharmshila Gupta (2024-30) (2024-2030),DHARMSHILA GUPTA,RS_DHARMSHILA GUPTA,,Elected MP,Construction of public staircase/ stair ghat for public convenience,Normal/Others,Normal/Others,,Sidhighat Nirman at Nawada Bhagwati Pokhar,Sidhighat Nirman at Nawada Bhagwati Pokhar,2024-09-04 00:00:00,,,700000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2f1fe1e9bb4d
wk_2f91c39d1a6a,,RS,Kerala,Kerala,Ernakulam,ERNAKULAM(DISTRICT COLLECTOR ERNAKULAM_IDA),ERNAKULAM,Dr. John Brittas (2021-27) (2021-2027),JOHN BRITTAS,RS_JOHN BRITTAS,,Elected MP,Construction of additional rooms and halls in the existing public and community building,Trust and Society,Trust and Society,,"Construction of first floor of the building of Kannan Nair Smaraka Samskarika Kendram, Reg. No. ER 1523 of 98, Desabhimani Road, Kaloor, Kochi 682017, Division No. 70, Kochi Municipal Corporation, Kanayannoor Taluk, Elamkulam Village, Kaloor Desom, Ernakulam District","Construction of first floor of the building of Kannan Nair Smaraka Samskarika Kendram, Reg. No. ER 1523 of 98, Desabhimani Road, Kaloor, Kochi 682017, Division No. 70, Kochi Municipal Corporation, Kanayannoor Taluk, Elamkulam Village, Kaloor Desom, Ernakulam District",2025-06-18 00:00:00,,,1000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_2f91c39d1a6a
wk_304c4252a0b4,,LS,Maharashtra,Maharashtra,Mumbai,MUMBAI(DISTRICT COLLECTOR MUMBAI CITY_IDA),MUMBAI,Arvind Ganpat Sawant,ARVIND GANPAT SAWANT,LS_ARVIND GANPAT SAWANT,MUMBAI SOUTH,,Construction of community centers and community halls,Normal/Others,Normal/Others,,shri sai seva mandal golfadevi worlikoliwada worli community hall,shri sai seva mandal golfadevi worlikoliwada worli community hall,2024-10-08 00:00:00,,,2500000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_304c4252a0b4
wk_306594bdd40f,,RS,Maharashtra,Maharashtra,Nanded,NANDED(DISTRICT COLLECTOR NANDED_IDA),NANDED,Shri Ashokrao Shankarrao Chavan (2024-30) (2024-2030),ASHOKRAO SHANKARRAO CHAVAN,RS_ASHOKRAO SHANKARRAO CHAVAN,,Elected MP,"Construction of roads, link roads, pathways or any other road with or without drainage system",Normal/Others,Normal/Others,,"Construction of internal CC road at Saeed Nagar in Bhokar Nagar Parishad, taluka Bhokar, District Nanded.","Construction of internal CC road at Saeed Nagar in Bhokar Nagar Parishad, taluka Bhokar, District Nanded.",2025-03-31 00:00:00,,,2000000.0,,,,,recommended,missing_parseable_work_id,synthetic,wk_306594bdd40f
