sr_no,state,mp_name_raw,constituency,allocated_amount,house,state_key,elected_nominated,mp_name_clean,mp_key
387,Bihar,Ravi Shankar Prasad,PATNA SAHIB,147000000.0,LS,Bihar,,RAVI SHANKAR PRASAD,LS_RAVI SHANKAR PRASAD
388,Maharashtra,RAVINDRA DATTARAM WAIKAR,MUMBAI NORTH WEST,147000000.0,LS,Maharashtra,,RAVINDRA DATTARAM WAIKAR,LS_RAVINDRA DATTARAM WAIKAR
389,Uttar Pradesh,Ravindra Shyamnarayan Alias Ravi Kishan Shukla,GORAKHPUR,147000000.0,LS,Uttar Pradesh,,RAVINDRA SHYAMNARAYAN ALIAS RAVI KISHAN SHUKLA,LS_RAVINDRA SHYAMNARAYAN ALIAS RAVI KISHAN SHUKLA
390,Maharashtra,Ravindra Vasantrao Chavan,NANDED,147000000.0,LS,Maharashtra,,RAVINDRA VASANTRAO CHAVAN,LS_RAVINDRA VASANTRAO CHAVAN
391,Mizoram,RICHARD VANLALHMANGAIHA,MIZORAM (ST),147000000.0,LS,Mizoram,,RICHARD VANLALHMANGAIHA,LS_RICHARD VANLALHMANGAIHA
392,Tamil Nadu,ROBERT BRUCE C,TIRUNELVELI,147475440.11,LS,Tamil Nadu,,ROBERT BRUCE C,LS_ROBERT BRUCE C
393,Madhya Pradesh,Rodmal Nagar,RAJGARH,147000000.0,LS,Madhya Pradesh,,RODMAL NAGAR,LS_RODMAL NAGAR
394,Chhattisgarh,ROOP KUMARI CHOUDHARY,MAHASAMUND,153035414.0,LS,Chhattisgarh,,ROOP KUMARI CHOUDHARY,LS_ROOP KUMARI CHOUDHARY
395,Uttar Pradesh,RUCHI VIRA,MORADABAD,147000000.0,LS,Uttar Pradesh,,RUCHI VIRA,LS_RUCHI VIRA
396,Odisha,RUDRA NARAYAN PANY,DHENKANAL,155013957.11,LS,Odisha,,RUDRA NARAYAN PANY,LS_RUDRA NARAYAN PANY
397,Nagaland,S SUPONGMEREN JAMIR,NAGALAND,147000000.0,LS,Nagaland,,S SUPONGMEREN JAMIR,LS_S SUPONGMEREN JAMIR
398,Tamil Nadu,S Venkatesan,MADURAI,147000000.0,LS,Tamil Nadu,,S VENKATESAN,LS_S VENKATESAN
399,Tamil Nadu,S. Jagathrakshakan,ARAKKONAM,180589332.34,LS,Tamil Nadu,,S JAGATHRAKSHAKAN,LS_S JAGATHRAKSHAKAN
400,Tamil Nadu,SACHITHANANTHAM R,DINDIGUL,147000000.0,LS,Tamil Nadu,,SACHITHANANTHAM R,LS_SACHITHANANTHAM R
401,Karnataka,SAGAR ESHWAR KHANDRE,BIDAR,147000000.0,LS,Karnataka,,SAGAR ESHWAR KHANDRE,LS_SAGAR ESHWAR KHANDRE
402,Meghalaya,SALENG A SANGMA,TURA,147000000.0,LS,Meghalaya,,SALENG A SANGMA,LS_SALENG A SANGMA
